topic,biden,trump
abortion,"In a campaign speech Biden said, ""If I have anything to do with it, I'm going to end up signing a law reinstating Roe v. Wade."" ","Trump's campaign website said, ""He confirmed three strong Constitutionalists to the United States Supreme Court who will ensure the law is upheld equally, fairly and without political prejudice for all of our citizens. President Trump's three appointees delivered the biggest win for life in a generation in overturning Roe v. Wade."" "
the administrative state,,"Trump's campaign website listed the following policies, ""On Day One, re-issue 2020 executive order restoring the president's authority to fire rogue bureaucrats. Overhaul federal departments and agencies, firing all of the corrupt actors in our National Security and Intelligence apparatus. [...] Launch a major crackdown on government leakers who collude with the media to create false narratives, pressing criminal charges when appropriate. Make every Inspector General's Office independent from the departments they oversee, so that they do not become protectors of the deep state."" Trump's campaign website also listed, ""Continue Trump administration effort to move parts of the federal bureaucracy outside of the Washington Swamp, just like President Trump moved the Bureau of Land Management to Colorado. Up to 100,000 government positions could be moved out of Washington. Ban federal bureaucrats from taking jobs at the companies they deal with and regulate, such as Big Pharma."" "
the Department of Justice and Federal Bureau of Investigation,,"Trump's campaign website said, ""President Trump will 'appoint 100 U.S. Attorneys who will be the 'polar opposite of the Soros District Attorneys' who are destroying the rule of law in America, overhaul the Department of Justice and the, and order sweeping civil rights investigations into Marxist local district attorneys.' President Trump states that 'As we completely overhaul the federal Department of Justice and FBI, we will also launch sweeping civil rights investigations into Marxist local District Attorneys. And that's what we have---they are Marxist in many cases.' Additionally, President Trump 'will have a complete investigation into the use of police state tactics by federal authorities to arrest conservatives and Christians. We will find out who ordered it, and we will hold them totally accountable.'"" "
the coronavirus response,,"Trump's campaign website said, ""To save lives from the China virus, President Trump organized the production of the world's largest supply of ventilators and the development of treatments and vaccines. He will stop all COVID mandates and restore medical freedom."" "
criminal justice,,"Trump's campaign website said, ""There is no higher priority than quickly restoring law and order and public safety in America. President Trump stands with the heroes of law enforcement. Joe Biden and the radical left politicians have defunded, defamed, and dismantled police forces across America. Murders spiked to all-time highs in Democrat-run cities and radical prosecutors and District Attorneys have given free rein to violent criminals who threaten our citizens. The streets of our once-great cities are now controlled by gangs and cartels, and plagued with mentally ill and drug-addicted homeless."" "
policing,,"Trump's campaign website said, ""President Trump will revitalize police departments and reclaim safety, dignity, and peace for law-abiding Americans. He will deliver record funding to hire and retrain police officers, strengthen qualified immunity and other protections for police officers, increase penalties for assaults on law enforcement, put violent offenders and career criminals behind bars, and surge federal prosecutors and the National Guard into high-crime communities."" "
courts,"In a campaign speech Biden said, ""And because of the great help of Dick Durbin of Illinois, Chairman of the Judiciary Committee, we've reconfirmed 61 judges --- and more, the first Black appointed judge to the Supreme Court of the United States, a woman.  And combined,  we've appointed more Black women to the appellate courts of the United States than every other president in history combined."" ","Trump's campaign website said, ""President Donald J. Trump appointed nearly 300 federal judges to interpret the Constitution as written and preserve the extraordinary vision of our founding fathers. He confirmed three strong Constitutionalists to the United States Supreme Court who will ensure the law is upheld equally, fairly and without political prejudice for all of our citizens. President Trump's three appointees delivered the biggest win for life in a generation in overturning Roe v. Wade and expanded the Second Amendment right to keep and bear arms. President Trump will continue to nominate highly qualified prosecutors, judges, and justices who believe in enforcing the law, not their own political agenda."" "
the economy,"In a campaign speech Biden said, ""Look at what we've been able to get done: 14 million new jobs --- more jobs than any president has created in a four-year term; record economic growth --- over 5 percent just the last quarter; unemployment under 4 percent for 20 months in a row, another record; the lowest inflation rate of any major economy on Earth; and we have more work to do."" ","Trump's campaign website said, ""President Donald J. Trump passed record-setting tax relief for the middle class, doubled the child tax credit, and slashed more job-killing regulations than any administration had ever done before. Real wages quickly increased as a result, and median household income reached the highest level in the history of our country, while poverty reached a record low. President Trump created nearly 9,000 Opportunity Zones to revitalize neglected communities. President Trump produced a booming economic recovery, and record low unemployment for African Americans, Hispanic Americans, Asian Americans, and women. Joe Biden is the destroyer of America's jobs and continues to fuel runaway inflation with reckless big government spending. President Trump's vision for America's economic revival is lower taxes, bigger paychecks, and more jobs for American workers."" "
Social Security,,"Trumps campaign website said, ""Under no circumstances should Republicans vote to cut a single penny from Medicare or Social Security. Republicans shouldn't punish seniors to fund Biden's spending spree. Biden has blown out the federal budget and wasted trillions of dollars. While we must stop Biden's out-of-control spending, bureaucrats in Washington should feel the pain, not hard-working Americans."" "
taxes,"In a campaign speech Biden said, ""You know, does anyone here think the tax code is fair?  We have about a thousand billionaires in America now.  We had 750 billionaires before the pandemic.  You know what their tax rate is?  Eight percent.  E-I-G-H-T.  Eight percent of a billion-dollar income.  That's less than a firefighter or a teacher pay.  That's wrong. That's why I'm proposing a billionaire minimum tax.  To get this billionaire minimum tax at just 25 percent, you know how much additional revenue that would generate?  Four hundred and forty billion dollars over the next 10 years.  Just 25 percent.  That's a hell of a lot less than all of you pay.  Just 25 percent."" ","Trump's campaign website said, ""President Trump's vision for America's economic revival is lower taxes, bigger paychecks, and more jobs for American workers."" "
